"删维组别","样例编号","是否还能唯一归类","候选场景集合"
"去掉资源所处状态后的判定结果","EX044","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX044","否","S1|S2"
"去掉触发位置边界后的判定结果","EX045","否","S1|S2"
"去掉资源所处状态后的判定结果","EX045","是","S1"
"去掉隔离跨越度后的判定结果","EX045","是","S1"
"去掉触发位置边界后的判定结果","EX046","否","S2|S4"
"去掉资源所处状态后的判定结果","EX046","是","S4"
"去掉隔离跨越度后的判定结果","EX046","否","S2|S4"
"去掉触发位置边界后的判定结果","EX047","否","S2|S4"
"去掉资源所处状态后的判定结果","EX047","是","S4"
"去掉隔离跨越度后的判定结果","EX047","否","S2|S4"
"去掉触发位置边界后的判定结果","EX048","否","S2|S4"
"去掉资源所处状态后的判定结果","EX048","是","S4"
"去掉隔离跨越度后的判定结果","EX048","否","S2|S4"
"去掉触发位置边界后的判定结果","EX049","否","S2|S4"
"去掉资源所处状态后的判定结果","EX049","是","S4"
"去掉隔离跨越度后的判定结果","EX049","否","S2|S4"
"去掉触发位置边界后的判定结果","EX050","否","S2|S4"
"去掉资源所处状态后的判定结果","EX050","是","S4"
"去掉隔离跨越度后的判定结果","EX050","否","S2|S4"
"去掉触发位置边界后的判定结果","EX051","是","S2"
"去掉资源所处状态后的判定结果","EX051","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX051","否","S1|S2"
"去掉触发位置边界后的判定结果","EX052","是","S2"
"去掉资源所处状态后的判定结果","EX052","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX052","否","S1|S2"
"去掉触发位置边界后的判定结果","EX053","是","S2"
"去掉资源所处状态后的判定结果","EX053","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX053","否","S1|S2"
"去掉触发位置边界后的判定结果","EX054","是","S2"
"去掉资源所处状态后的判定结果","EX054","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX054","否","S1|S2"
"去掉触发位置边界后的判定结果","EX055","是","S2"
"去掉资源所处状态后的判定结果","EX055","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX055","否","S1|S2"
"去掉触发位置边界后的判定结果","EX056","是","S2"
"去掉资源所处状态后的判定结果","EX056","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX056","否","S1|S2"
"去掉触发位置边界后的判定结果","EX057","是","S2"
"去掉资源所处状态后的判定结果","EX057","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX057","否","S1|S2"
"去掉触发位置边界后的判定结果","EX058","是","S2"
"去掉资源所处状态后的判定结果","EX058","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX058","否","S1|S2"
"去掉触发位置边界后的判定结果","EX059","否","S2|S4"
"去掉资源所处状态后的判定结果","EX059","是","S4"
"去掉隔离跨越度后的判定结果","EX059","否","S2|S4"
"去掉触发位置边界后的判定结果","EX060","是","S2"
"去掉资源所处状态后的判定结果","EX060","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX060","否","S1|S2"
"去掉触发位置边界后的判定结果","EX061","是","S2"
"去掉资源所处状态后的判定结果","EX061","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX061","否","S1|S2"
"去掉触发位置边界后的判定结果","EX062","是","S2"
"去掉资源所处状态后的判定结果","EX062","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX062","否","S1|S2"
"去掉触发位置边界后的判定结果","EX063","是","S2"
"去掉资源所处状态后的判定结果","EX063","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX063","否","S1|S2"
"去掉触发位置边界后的判定结果","EX064","是","S2"
"去掉资源所处状态后的判定结果","EX064","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX064","否","S1|S2"
"去掉触发位置边界后的判定结果","EX065","是","S2"
"去掉资源所处状态后的判定结果","EX065","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX065","否","S1|S2"
"去掉触发位置边界后的判定结果","EX066","是","S2"
"去掉资源所处状态后的判定结果","EX066","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX066","否","S1|S2"
"去掉触发位置边界后的判定结果","EX067","是","S2"
"去掉资源所处状态后的判定结果","EX067","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX067","否","S1|S2"
"去掉触发位置边界后的判定结果","EX068","否","S2|S4"
"去掉资源所处状态后的判定结果","EX068","是","S4"
"去掉隔离跨越度后的判定结果","EX068","否","S2|S4"
"去掉触发位置边界后的判定结果","EX069","否","S2|S4"
"去掉资源所处状态后的判定结果","EX069","是","S4"
"去掉隔离跨越度后的判定结果","EX069","否","S2|S4"
"去掉触发位置边界后的判定结果","EX070","否","S2|S4"
"去掉资源所处状态后的判定结果","EX070","是","S4"
"去掉隔离跨越度后的判定结果","EX070","否","S2|S4"
"去掉触发位置边界后的判定结果","EX071","是","S2"
"去掉资源所处状态后的判定结果","EX071","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX071","否","S1|S2"
"去掉触发位置边界后的判定结果","EX072","是","S2"
"去掉资源所处状态后的判定结果","EX072","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX072","否","S1|S2"
"去掉触发位置边界后的判定结果","EX073","是","S2"
"去掉资源所处状态后的判定结果","EX073","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX073","否","S1|S2"
"去掉触发位置边界后的判定结果","EX074","否","S2|S4"
"去掉资源所处状态后的判定结果","EX074","是","S4"
"去掉隔离跨越度后的判定结果","EX074","否","S2|S4"
"去掉触发位置边界后的判定结果","EX075","否","S2|S4"
